"Date","AEX_disc_return","Portfolio_disc_return","MSCI_disc_return","Date.y","new_cases_per_million","reproduction_rate","dMonday","dPeriod","AEX_cont_return","Portfolio_cont_return","MSCI_cont_return"
2020-12-09,0.507630678408666,-0.415789430123176,-0.460705889777687,2020-12-08,363.767,1.24,0,0,0.506346577706398,-0.416656237938752,-0.46177041015914
2020-12-10,-0.261408377977152,-0.548296080217949,0.0253609979552645,2020-12-09,387.001,1.24,0,0,-0.261750646286349,-0.549804740319088,0.0253577825978037
2020-12-11,-0.588901472253678,-0.911870342196372,-0.19332857935186,2020-12-10,514.176,1.26,0,0,-0.590642334982636,-0.916053328157974,-0.193515700260855
2020-12-14,-0.257136347361918,-3.6380369132779,-0.157185272216314,2020-12-13,578.638,1.29,1,0,-0.257467510683585,-3.70586360255017,-0.157308937871771
2020-12-15,0.727711786972986,3.56857628826888,0.80306596272501,2020-12-14,496.008,1.28,0,0,0.725076740720854,3.50637801463772,0.799858548348583
2020-12-16,0.732173518644504,1.09779785940583,0.506397008944775,2020-12-15,391.077,1.28,0,0,0.729506140316175,1.09181579950325,0.50511913156435
2020-12-17,0.464734827774738,1.32922978551655,0.751844294459263,2020-12-16,656.317,1.32,0,0,0.463658269612602,1.32047303923886,0.749032032335578
2020-12-18,0.0800320128051221,-2.66025112289639,-0.325600959665991,2020-12-17,749.486,1.32,0,0,0.0800000042666763,-2.69627614391662,-0.326132193038073
2020-12-21,-2.53658536585366,-3.10458414163075,-0.812753985620496,2020-12-20,761.191,1.24,1,0,-2.56931129239551,-3.15379761735934,-0.816074836632233
2020-12-22,1.33083903575707,0.155568853786406,-0.149700598802402,2020-12-21,653.231,1.19,0,0,1.3220611668359,0.155447970799673,-0.14981276210221
2020-12-23,0.796761133603232,3.15296625906867,0.372445356269236,2020-12-22,575.843,1.14,0,0,0.793603752186653,3.10428098686701,0.371753495887991
2020-12-24,0.634619710163562,0.907209510765006,0.202826999575473,2020-12-23,609.849,1.07,0,0,0.632614478539509,0.903119085819281,0.202621583329536
2020-12-28,0.194773057458056,0.163555690743625,0.542779154770483,2020-12-27,530.015,0.92,1,0,0.194583620679815,0.163422084084773,0.54131141736931
2020-12-29,0.246976529262728,1.08730459853342,0.324533483118024,2020-12-28,434.284,0.91,0,0,0.246672043468617,1.08143594386181,0.324008009794024
2020-12-30,-0.171662904917831,-1.4172781527209,0.356143079315702,2020-12-29,442.087,0.91,0,0,-0.171810414519475,-1.42741745495293,0.355510391588373
2020-12-31,-0.54931057542272,-1.05776025682156,0.151869701994455,2020-12-30,555.113,0.9,0,0,-0.550824833831013,-1.06339430566524,0.15175449658919
2021-01-04,1.02784137301676,0.0150553076687051,-0.513693331270298,2021-01-03,433.993,0.86,1,0,1.02259500252959,0.01505417447099,-0.515017271404274
2021-01-05,0.410440074164466,1.38840975860364,0.618992814706526,2021-01-04,385.137,0.87,0,0,0.409600066592755,1.37885964526029,0.61708492327598
2021-01-06,0.874341087718185,0.417643950520356,0.446704587609742,2021-01-05,378.848,0.88,0,0,0.870540861259073,0.41677423886449,0.445709824003065
2021-01-07,-0.273796858376619,0.962951010034131,1.18181118719704,2021-01-06,421.473,0.88,0,1,-0.274172367553072,0.958344187480682,1.1748823359851
2021-01-08,1.28488727820399,1.13317146478481,0.921630952199909,2021-01-07,567.457,0.9,0,1,1.27670263600821,1.12679917109857,0.917409849643095
2021-01-11,-0.492565055762092,-1.56549246842832,-0.77005379827906,2021-01-10,387.525,0.84,1,1,-0.493782155750551,-1.57787571094906,-0.773034021949077
2021-01-12,0.180567230160967,0.7345783447115,0.177681934151373,2021-01-11,318.405,0.83,0,1,0.18040440351618,0.731893458367283,0.177524266539703
